#{"source_data": "2017-06-12", "update_frequency": "Hourly", "source_key": "FTS", "extract_date": "2017-06-12", "source_url": "https://fts.unocha.org"}
organization_name,totalFunding,year,countryCode,Country
"United States of America, Government of",149722339,2016,AFG,Afghanistan
"United Kingdom, Government of",54932340,2016,AFG,Afghanistan
"Germany, Government of",49804454,2016,AFG,Afghanistan
European Commission's Humanitarian Aid and Civil Protection Department,49724237,2016,AFG,Afghanistan
"Japan, Government of",47169783,2016,AFG,Afghanistan
"Sweden, Government of",48077,2016,ALB,Albania
"Saudi Arabia (Kingdom of), Government of",12616,2016,ALB,Albania
European Commission's Humanitarian Aid and Civil Protection Department,10140010,2016,DZA,Algeria
"Spain, Government of",5022340,2016,DZA,Algeria
"Switzerland, Government of",3567630,2016,DZA,Algeria
"United States of America, Government of",2750000,2016,DZA,Algeria
"Germany, Government of",2266290,2016,DZA,Algeria
Central Emergency Response Fund,7989386,2016,AGO,Angola
European Commission's Humanitarian Aid and Civil Protection Department,3470716,2016,AGO,Angola
"Canada, Government of",747384,2016,AGO,Angola
"Switzerland, Government of",422330,2016,AGO,Angola
"Sweden, Government of",326517,2016,AGO,Angola
European Commission's Humanitarian Aid and Civil Protection Department,2593636,2016,ARM,Armenia
"United States of America, Government of",400000,2016,ARM,Armenia
"Sweden, Government of",587130,2016,AZE,Azerbaijan
"United States of America, Government of",407114,2016,BHS,Bahamas
Dominica,100000,2016,BHS,Bahamas
Canadian Imperial Bank of Commerce,100000,2016,BHS,Bahamas
Private (individuals & organizations),50000,2016,BHS,Bahamas
"Jamaica, Government of",0,2016,BHS,Bahamas
European Commission's Humanitarian Aid and Civil Protection Department,14344542,2016,BGD,Bangladesh
"United States of America, Government of",6000000,2016,BGD,Bangladesh
Central Emergency Response Fund,4890038,2016,BGD,Bangladesh
"Sweden, Government of",4421465,2016,BGD,Bangladesh
"United Kingdom, Government of",3212851,2016,BGD,Bangladesh
European Commission's Humanitarian Aid and Civil Protection Department,765027,2016,BEL,Belgium
"Mexico, Government of",50000,2016,BLZ,Belize
Private (individuals & organizations),30000,2016,BLZ,Belize
Not specified,653968,2016,BEN,Benin
Start Fund,238902,2016,BEN,Benin
"Saudi Arabia (Kingdom of), Government of",234521,2016,BEN,Benin
"Canada, Government of",15314,2016,BEN,Benin
European Commission's Humanitarian Aid and Civil Protection Department,332963,2016,BTN,Bhutan
"Switzerland, Government of",5380184,2016,BOL,"Bolivia, Plurinational State of"
European Commission's Humanitarian Aid and Civil Protection Department,800439,2016,BOL,"Bolivia, Plurinational State of"
"Sweden, Government of",292466,2016,BOL,"Bolivia, Plurinational State of"
"Luxembourg, Government of",60115,2016,BOL,"Bolivia, Plurinational State of"
"Italy, Government of",15608,2016,BOL,"Bolivia, Plurinational State of"
"Germany, Government of",2078616,2016,BIH,Bosnia and Herzegovina
"Italy, Government of",283918,2016,BIH,Bosnia and Herzegovina
"Sweden, Government of",587130,2016,BRA,Brazil
US Fund for UNICEF,535000,2016,BRA,Brazil
United Nations Population Fund,200000,2016,BRA,Brazil
"Lithuania, Government of",28351,2016,BGR,Bulgaria
European Commission's Humanitarian Aid and Civil Protection Department,22926878,2016,BFA,Burkina Faso
ECHO DFID contribution,15218617,2016,BFA,Burkina Faso
"Germany, Government of",9054916,2016,BFA,Burkina Faso
Private (individuals & organizations),5376534,2016,BFA,Burkina Faso
"Japan, Government of",4278020,2016,BFA,Burkina Faso
"United States of America, Government of",20575766,2016,BDI,Burundi
"Germany, Government of",16811038,2016,BDI,Burundi
Central Emergency Response Fund,12985955,2016,BDI,Burundi
"Belgium, Government of",7479207,2016,BDI,Burundi
World Food Programme,4451200,2016,BDI,Burundi
"Germany, Government of",5530973,2016,KHM,Cambodia
"United States of America, Government of",2643156,2016,KHM,Cambodia
"Japan, Government of",2141119,2016,KHM,Cambodia
European Commission's Humanitarian Aid and Civil Protection Department,1247164,2016,KHM,Cambodia
UNICEF National Committee/United Kingdom,39318,2016,KHM,Cambodia
"United States of America, Government of",73016268,2016,CMR,Cameroon
European Commission's Humanitarian Aid and Civil Protection Department,17157995,2016,CMR,Cameroon
"Japan, Government of",12795056,2016,CMR,Cameroon
"United Kingdom, Government of",12619763,2016,CMR,Cameroon
"Germany, Government of",12299143,2016,CMR,Cameroon
"United States of America, Government of",50000,2016,CAN,Canada
"Sweden, Government of",5334,2016,CPV,Cape Verde
"United States of America, Government of",66954026,2016,CAF,Central African Republic
"United Kingdom, Government of",30536581,2016,CAF,Central African Republic
European Commission's Humanitarian Aid and Civil Protection Department,25104725,2016,CAF,Central African Republic
"Germany, Government of",21980518,2016,CAF,Central African Republic
"Sweden, Government of",14563965,2016,CAF,Central African Republic
"United States of America, Government of",121046157,2016,TCD,Chad
European Commission's Humanitarian Aid and Civil Protection Department,47695551,2016,TCD,Chad
Central Emergency Response Fund,27491130,2016,TCD,Chad
World Food Programme,21248657,2016,TCD,Chad
"Germany, Government of",20443419,2016,TCD,Chad
"United States of America, Government of",800000,2016,CHN,China
"United States of America, Government of",15598953,2016,COL,Colombia
European Commission's Humanitarian Aid and Civil Protection Department,9701213,2016,COL,Colombia
"Germany, Government of",9571164,2016,COL,Colombia
"Switzerland, Government of",7763998,2016,COL,Colombia
"Sweden, Government of",4354978,2016,COL,Colombia
"Saudi Arabia (Kingdom of), Government of",88333,2016,COM,Comoros
Not specified,18894,2016,COM,Comoros
Not specified,10243457,2016,COG,Congo
"United States of America, Government of",9017484,2016,COG,Congo
"Japan, Government of",3817883,2016,COG,Congo
Central Emergency Response Fund,2366915,2016,COG,Congo
United Nations Population Fund,83100,2016,COG,Congo
"United States of America, Government of",171018636,2016,COD,"Congo, The Democratic Republic of the"
European Commission's Humanitarian Aid and Civil Protection Department,58847270,2016,COD,"Congo, The Democratic Republic of the"
"United Kingdom, Government of",39232641,2016,COD,"Congo, The Democratic Republic of the"
"Germany, Government of",37662901,2016,COD,"Congo, The Democratic Republic of the"
"Sweden, Government of",30309605,2016,COD,"Congo, The Democratic Republic of the"
"United States of America, Government of",1100000,2016,CRI,Costa Rica
European Commission's Humanitarian Aid and Civil Protection Department,702152,2016,CRI,Costa Rica
Council of Europe Development Bank,866365,2016,HRV,Croatia
European Commission,144270,2016,HRV,Croatia
"Denmark, Government of",49597,2016,HRV,Croatia
Private (individuals & organizations),15382,2016,HRV,Croatia
Central Emergency Response Fund,5352736,2016,CUB,Cuba
"Switzerland, Government of",752233,2016,CUB,Cuba
European Commission's Humanitarian Aid and Civil Protection Department,679502,2016,CUB,Cuba
"Canada, Government of",386110,2016,CUB,Cuba
"Italy, Government of",224215,2016,CUB,Cuba
"United States of America, Government of",9200000,2016,CIV,Côte d'Ivoire
"Denmark, Government of",3049881,2016,CIV,Côte d'Ivoire
Central Emergency Response Fund,1965416,2016,CIV,Côte d'Ivoire
"Sweden, Government of",1103266,2016,CIV,Côte d'Ivoire
African Development Bank,1000000,2016,CIV,Côte d'Ivoire
"United States of America, Government of",10000000,2016,DNK,Denmark
"United States of America, Government of",12696614,2016,DJI,Djibouti
"Japan, Government of",5282422,2016,DJI,Djibouti
"Sweden, Government of",2907206,2016,DJI,Djibouti
European Commission's Humanitarian Aid and Civil Protection Department,2006910,2016,DJI,Djibouti
Central Emergency Response Fund,1972054,2016,DJI,Djibouti
"Saudi Arabia (Kingdom of), Government of",100000,2016,DMA,Dominica
"Switzerland, Government of",55701,2016,DMA,Dominica
"United States of America, Government of",1576578,2016,DOM,Dominican Republic
European Commission's Humanitarian Aid and Civil Protection Department,790072,2016,DOM,Dominican Republic
Start Fund,154941,2016,DOM,Dominican Republic
"United States of America, Government of",9160113,2016,ECU,Ecuador
Central Emergency Response Fund,7401349,2016,ECU,Ecuador
European Commission's Humanitarian Aid and Civil Protection Department,7310214,2016,ECU,Ecuador
Private (individuals & organizations),4620907,2016,ECU,Ecuador
"Switzerland, Government of",3546218,2016,ECU,Ecuador
"United States of America, Government of",22953225,2016,EGY,Egypt
World Food Programme,16649590,2016,EGY,Egypt
"Germany, Government of",11337868,2016,EGY,Egypt
European Commission's Humanitarian Aid and Civil Protection Department,6506196,2016,EGY,Egypt
"Switzerland, Government of",2430099,2016,EGY,Egypt
European Commission's Humanitarian Aid and Civil Protection Department,4272040,2016,SLV,El Salvador
Private (individuals & organizations),329301,2016,SLV,El Salvador
Not specified,100000,2016,SLV,El Salvador
"Switzerland, Government of",94682,2016,SLV,El Salvador
"Japan, Government of",76140,2016,SLV,El Salvador
"Germany, Government of",2653928,2016,ERI,Eritrea
Central Emergency Response Fund,2002599,2016,ERI,Eritrea
"Ireland, Government of",1114827,2016,ERI,Eritrea
"Canada, Government of",1034191,2016,ERI,Eritrea
Not specified,800000,2016,ERI,Eritrea
"United States of America, Government of",619335597,2016,ETH,Ethiopia
European Commission's Humanitarian Aid and Civil Protection Department,180977382,2016,ETH,Ethiopia
"United Kingdom, Government of",100547785,2016,ETH,Ethiopia
"Germany, Government of",87711556,2016,ETH,Ethiopia
"Canada, Government of",53819334,2016,ETH,Ethiopia
"Australia, Government of",22321947,2016,FJI,Fiji
Central Emergency Response Fund,8022382,2016,FJI,Fiji
"United States of America, Government of",3728282,2016,FJI,Fiji
"New Zealand, Government of",3075050,2016,FJI,Fiji
European Commission's Humanitarian Aid and Civil Protection Department,1121699,2016,FJI,Fiji
"Japan, Government of",1279654,2016,GMB,Gambia
"United Arab Emirates, Government of",500000,2016,GMB,Gambia
World Food Programme,440225,2016,GMB,Gambia
Start Fund,196592,2016,GMB,Gambia
"Saudi Arabia (Kingdom of), Government of",88333,2016,GMB,Gambia
European Commission's Humanitarian Aid and Civil Protection Department,509626,2016,GEO,Georgia
"Switzerland, Government of",504541,2016,GEO,Georgia
"United States of America, Government of",400000,2016,GEO,Georgia
"Bulgaria, Government of",99107,2016,GEO,Georgia
European Commission's Humanitarian Aid and Civil Protection Department,316633,2016,GHA,Ghana
Not specified,267026,2016,GHA,Ghana
"Saudi Arabia (Kingdom of), Government of",88333,2016,GHA,Ghana
United Nations Population Fund,26000,2016,GHA,Ghana
European Commission's Humanitarian Aid and Civil Protection Department,198420514,2016,GRC,Greece
European Commission,131326625,2016,GRC,Greece
Private (individuals & organizations),50320589,2016,GRC,Greece
"United Kingdom, Government of",23163645,2016,GRC,Greece
Not specified,6940989,2016,GRC,Greece
European Commission's Humanitarian Aid and Civil Protection Department,6683294,2016,GTM,Guatemala
"United States of America, Government of",5102201,2016,GTM,Guatemala
Central Emergency Response Fund,4829690,2016,GTM,Guatemala
World Food Programme,2009205,2016,GTM,Guatemala
"Canada, Government of",830179,2016,GTM,Guatemala
"Japan, Government of",6838961,2016,GIN,Guinea
Central Emergency Response Fund,2971319,2016,GIN,Guinea
European Commission's Humanitarian Aid and Civil Protection Department,2258195,2016,GIN,Guinea
United Nations Development Programme,1000000,2016,GIN,Guinea
"Sweden, Government of",700000,2016,GIN,Guinea
"Japan, Government of",1279654,2016,GNB,Guinea-Bissau
Not specified,147253,2016,GNB,Guinea-Bissau
"United States of America, Government of",93360584,2016,HTI,Haiti
"Canada, Government of",22286236,2016,HTI,Haiti
European Commission's Humanitarian Aid and Civil Protection Department,18492404,2016,HTI,Haiti
"Germany, Government of",14190644,2016,HTI,Haiti
Central Emergency Response Fund,11651224,2016,HTI,Haiti
Central Emergency Response Fund,2187908,2016,HND,Honduras
World Food Programme,1996226,2016,HND,Honduras
European Commission's Humanitarian Aid and Civil Protection Department,1744052,2016,HND,Honduras
"Canada, Government of",1123596,2016,HND,Honduras
"Saudi Arabia (Kingdom of), Government of",672058,2016,HND,Honduras
Education Above All Foundation,14045169,2016,IND,India
"United States of America, Government of",3045000,2016,IND,India
European Commission's Humanitarian Aid and Civil Protection Department,901341,2016,IND,India
Start Fund,700631,2016,IND,India
"Hong Kong Special Administrative Region of the People's Republic of China, Government of",499865,2016,IND,India
"United States of America, Government of",14726615,2016,IDN,Indonesia
"Germany, Government of",3121232,2016,IDN,Indonesia
"Australia, Government of",1032753,2016,IDN,Indonesia
Start Fund,714191,2016,IDN,Indonesia
"Sweden, Government of",244888,2016,IDN,Indonesia
European Commission's Humanitarian Aid and Civil Protection Department,14921969,2016,IRN,"Iran, Islamic Republic of"
"Germany, Government of",5665082,2016,IRN,"Iran, Islamic Republic of"
"Denmark, Government of",1590892,2016,IRN,"Iran, Islamic Republic of"
"Norway, Government of",1512034,2016,IRN,"Iran, Islamic Republic of"
"Sweden, Government of",939408,2016,IRN,"Iran, Islamic Republic of"
"Germany, Government of",545178127,2016,IRQ,Iraq
"United States of America, Government of",538402186,2016,IRQ,Iraq
European Commission's Humanitarian Aid and Civil Protection Department,156146451,2016,IRQ,Iraq
"United Kingdom, Government of",122927534,2016,IRQ,Iraq
"United Arab Emirates, Government of",57891480,2016,IRQ,Iraq
"Luxembourg, Government of",822368,2016,ISR,Israel
"Monaco, Government of",34014,2016,ITA,Italy
"United States of America, Government of",100000,2016,JAM,Jamaica
"Sweden, Government of",8155,2016,JAM,Jamaica
"United States of America, Government of",148747556,2016,JOR,Jordan
World Food Programme,147922300,2016,JOR,Jordan
"United Arab Emirates, Government of",86087553,2016,JOR,Jordan
"Germany, Government of",71996729,2016,JOR,Jordan
European Commission's Humanitarian Aid and Civil Protection Department,67201527,2016,JOR,Jordan
"Saudi Arabia (Kingdom of), Government of",3400000,2016,KAZ,Kazakhstan
European Commission's Humanitarian Aid and Civil Protection Department,877193,2016,KAZ,Kazakhstan
"Poland, Government of",17311,2016,KAZ,Kazakhstan
"United States of America, Government of",135683340,2016,KEN,Kenya
European Commission's Humanitarian Aid and Civil Protection Department,22860219,2016,KEN,Kenya
"Germany, Government of",12537661,2016,KEN,Kenya
"Canada, Government of",9155770,2016,KEN,Kenya
Central Emergency Response Fund,4961689,2016,KEN,Kenya
Central Emergency Response Fund,13055211,2016,PRK,"Korea, Democratic People's Republic of"
"Switzerland, Government of",10380599,2016,PRK,"Korea, Democratic People's Republic of"
"Germany, Government of",3653276,2016,PRK,"Korea, Democratic People's Republic of"
"Sweden, Government of",3181161,2016,PRK,"Korea, Democratic People's Republic of"
"Russian Federation, Government of",3000000,2016,PRK,"Korea, Democratic People's Republic of"
"United States of America, Government of",379529,2016,KOR,"Korea, Republic of"
"Saudi Arabia (Kingdom of), Government of",805509,2016,KGZ,Kyrgyzstan
"Japan, Government of",500000,2016,KGZ,Kyrgyzstan
European Commission's Humanitarian Aid and Civil Protection Department,339751,2016,KGZ,Kyrgyzstan
"Kazakhstan, Government of",308910,2016,KGZ,Kyrgyzstan
"Qatar, Government of",13700,2016,KGZ,Kyrgyzstan
European Commission's Humanitarian Aid and Civil Protection Department,1813031,2016,LAO,Lao People's Democratic Republic
Central Emergency Response Fund,328811,2016,LAO,Lao People's Democratic Republic
"Canada, Government of",15209,2016,LAO,Lao People's Democratic Republic
"United States of America, Government of",268207245,2016,LBN,Lebanon
"Germany, Government of",218956450,2016,LBN,Lebanon
World Food Programme,160636367,2016,LBN,Lebanon
European Commission,101023343,2016,LBN,Lebanon
"United Kingdom, Government of",93356397,2016,LBN,Lebanon
"United States of America, Government of",11608388,2016,LSO,Lesotho
European Commission's Humanitarian Aid and Civil Protection Department,6057475,2016,LSO,Lesotho
