#{"source_key": "HCR", "source_url": "http://www.unhcr.org/globaltrends2016/", "source_date": "2017-06-19", "extract_date": "2017-06-19", "update_frequency": "Every six months", "additional_metadata": {"Raw Annex Tables URL": "http://www.unhcr.org/globaltrends/2016-GlobalTrends-annex-tables.zip"}}
"Country","Refugees","People in refugee-like situations",Total Refugee and people in refugee-like situations,"Of whom assisted by UNHCR","Asylum-seekers","Returned refugees","IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","Returned IDPs",Persons under UNHCR's statelessness mandate,Others of concern to UNHCR,"Total population of concern","countryCode"
"Afghanistan",59771,0,59771,59771,128,383951,1797551,0,0,114221,2355622,"AFG"
"Albania",138,0,138,137,2752,0,0,0,4921,0,7811,"ALB"
"Algeria",94232,0,94232,90227,5712,5,0,0,0,0,99949,"DZA"
"Angola",15555,0,15555,268,30143,0,0,0,0,0,45698,"AGO"
"Anguilla",1,0,1,1,0,0,0,0,0,0,1,"AIA"
"Antigua and Barbuda",4,0,4,4,0,0,0,0,0,0,4,"ATG"
"Argentina",3293,0,3293,50,3991,0,0,0,0,181,7465,"ARG"
"Armenia",3313,14573,17886,6944,82,0,0,0,512,0,18480,"ARM"
"Aruba",1,0,1,1,4,0,0,0,0,0,5,"ABW"
"Australia",42188,0,42188,0,29590,0,0,0,0,0,71778,"AUS"
"Austria",93250,0,93250,0,76409,0,0,0,937,0,170596,"AUT"
"Azerbaijan",1193,0,1193,1193,230,0,613129,0,3585,0,618137,"AZE"
"Bahamas",13,0,13,13,18,0,0,0,0,0,31,"BHS"
"Bahrain",271,0,271,271,111,0,0,0,0,0,382,"BHR"
"Bangladesh",33207,243000,276207,33207,1,0,0,0,0,0,276208,"BGD"
"Barbados",0,0,0,0,2,0,0,0,0,0,2,"BRB"
"Belarus",1650,0,1650,511,231,0,0,0,6182,0,8063,"BLR"
"Belgium",42168,0,42168,0,24111,0,0,0,2630,0,68909,"BEL"
"Belize",0,0,0,0,2431,0,0,0,0,1709,4140,"BLZ"
"Benin",809,0,809,809,226,0,0,0,0,0,1035,"BEN"
"Bermuda",0,0,0,0,0,0,0,0,0,0,0,"BMU"
"Bolivia (Plurinational State of)",786,0,786,154,3,0,0,0,0,0,789,"BOL"
"Bonaire, Saint Eustatius and Saba ",0,0,0,0,0,0,0,0,0,0,0,NA
"Bosnia and Herzegovina",5271,0,5271,5271,53,5,98324,0,49,52437,156139,"BIH"
"Botswana",2093,0,2093,2093,80,0,0,0,0,659,2832,"BWA"
"Brazil",9689,0,9689,1829,35464,0,0,0,4,22930,68087,"BRA"
"British Virgin Islands",0,0,0,0,0,0,0,0,0,0,0,"VGB"
"Brunei Darussalam",0,0,0,0,0,0,0,0,20524,0,20524,"BRN"
"Bulgaria",17814,0,17814,17814,16042,0,0,0,67,0,33923,"BGR"
"Burkina Faso",32552,0,32552,32552,124,0,0,0,0,0,32676,"BFA"
"Burundi",57469,0,57469,57469,3613,4117,141221,0,974,655,208049,"BDI"
"Cabo Verde",0,0,0,0,0,0,0,0,115,0,115,"CPV"
"Cambodia",66,0,66,64,177,0,0,0,0,0,243,"KHM"
"Cameroon",348672,26743,375415,375415,3251,134,198889,18213,0,33,595935,"CMR"
"Canada",97332,0,97332,0,23935,0,0,0,0,0,121267,"CAN"
"Cayman Islands",18,0,18,6,24,0,0,0,0,0,42,"CYM"
"Central African Rep.",12115,0,12115,11376,304,34403,411785,0,0,0,458607,"CAF"
"Chad",391251,0,391251,379266,1909,28,124342,0,0,36718,554248,"TCD"
"Chile",1737,0,1737,59,3223,0,0,0,0,0,4960,"CHL"
"China",317255,0,317255,158,668,0,0,0,0,0,317923,"CHN"
"China, Hong Kong SAR",110,0,110,0,0,0,0,0,0,0,110,"HKG"
"China, Macao SAR",0,0,0,0,5,0,0,0,0,0,5,"MAC"
"Colombia",258,0,258,67,386,204,7410816,0,11,0,7411675,"COL"
"Comoros",0,0,0,0,0,0,0,0,0,0,0,"COM"
"Congo, Republic of",46457,0,46457,46457,6675,11,15303,0,0,3152,71598,"COG"
"Costa Rica",4180,0,4180,4180,3646,0,0,0,127,0,7953,"CRI"
"Côte d'Ivoire",1399,0,1399,1399,284,19552,0,0,694000,118,715353,"CIV"
"Croatia",304,0,304,304,557,44,0,0,2873,14518,18296,"HRV"
"Cuba",316,0,316,202,27,0,0,0,0,0,343,"CUB"
"Curaçao ",54,0,54,54,57,0,0,0,0,0,111,"CUW"
"Cyprus",8484,0,8484,572,3088,0,0,0,0,6000,17572,"CYP"
"Czechia",3644,0,3644,0,775,0,0,0,1502,0,5921,"CZE"
"Dem. Rep. of the Congo",451956,0,451956,343904,1327,13223,2232900,619600,0,0,3319006,"COD"
"Denmark",33507,0,33507,0,6339,0,0,0,7610,0,47456,"DNK"
"Djibouti",17683,0,17683,17683,8061,0,0,0,0,118,25862,"DJI"
"Dominica",0,0,0,0,0,0,0,0,0,0,0,"DMA"
"Dominican Rep.",592,0,592,592,796,0,0,0,0,0,1388,"DOM"
"Ecuador",60524,42324,102848,18950,24542,0,0,0,0,0,127390,"ECU"
"Egypt",213530,0,213530,143530,49877,0,0,0,19,0,263426,"EGY"
"El Salvador",45,0,45,45,1,0,0,0,0,9800,9846,"SLV"
"Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,"GNQ"
"Eritrea",2342,0,2342,2342,8,1,0,0,0,16,2367,"ERI"
"Estonia",322,0,322,0,43,0,0,0,82585,0,82950,"EST"
"Ethiopia",791631,0,791631,791631,1964,1,0,0,0,537,794133,"ETH"
"Fiji",12,0,12,12,2,0,0,0,0,0,14,"FJI"
"Finland",18401,0,18401,0,5600,0,0,0,2671,0,26672,"FIN"
"France",304546,0,304546,0,62771,0,0,0,1370,0,368687,"FRA"
"Gabon",931,0,931,931,1909,1,0,0,0,0,2841,"GAB"
"Gambia",7940,0,7940,7940,0,0,0,0,0,0,7940,"GMB"
"Georgia",1513,612,2125,941,312,0,273765,0,580,0,276782,"GEO"
"Germany",669482,0,669482,0,587346,0,0,0,12017,0,1268845,"DEU"
"Ghana",11865,0,11865,11865,1371,0,0,0,0,0,13236,"GHA"
"Greece",21484,24943,46427,0,39986,0,0,0,198,0,86611,"GRC"
"Grenada",1,0,1,1,0,0,0,0,0,0,1,"GRD"
"Guatemala",300,0,300,217,2,0,0,0,0,23900,24202,"GTM"
"Guinea",5068,0,5068,5068,108,0,0,0,0,0,5176,"GIN"
"Guinea-Bissau",9263,0,9263,9263,32,0,0,0,0,0,9295,"GNB"
"Guyana",11,0,11,11,0,0,0,0,0,0,11,"GUY"
"Haiti",5,0,5,5,5,0,0,0,2302,0,2312,"HTI"
"Honduras",16,0,16,12,10,0,174000,0,0,4800,178826,"HND"
"Hungary",4748,0,4748,67,3413,0,0,0,135,0,8296,"HUN"
"Iceland",179,0,179,0,161,0,0,0,131,0,471,"ISL"
"India",197851,0,197851,24594,9219,0,0,0,0,0,207070,"IND"
"Indonesia",7827,0,7827,7827,6578,0,0,0,0,0,14405,"IDN"
"Iran (Islamic Rep. of)",979435,0,979435,979435,91,11,0,0,0,0,979537,"IRN"
"Iraq",261888,0,261888,261888,11458,157,3604285,1397016,48200,3162,5326166,"IRQ"
"Ireland",5731,0,5731,98,4322,0,0,0,99,0,10152,"IRL"
"Israel",411,32535,32946,4781,11677,0,0,0,42,0,44665,"ISR"
"Italy",147370,0,147370,0,99921,0,0,0,701,0,247992,"ITA"
"Jamaica",15,0,15,15,9,0,0,0,0,0,24,"JAM"
"Japan",2514,0,2514,386,18801,0,0,0,626,0,21941,"JPN"
"Jordan",685197,0,685197,685197,35615,0,0,0,0,0,720812,"JOR"
"Kazakhstan",653,0,653,653,137,0,0,0,8451,0,9241,"KAZ"
"Kenya",451099,0,451099,451099,43764,4,0,0,20000,0,514867,"KEN"
"Kuwait",939,0,939,818,823,0,0,0,93000,0,94762,"KWT"
"Kyrgyzstan",339,0,339,337,120,0,0,0,2334,0,2793,"KGZ"
"Lao People's Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,"LAO"
"Latvia",349,0,349,0,148,0,0,0,242736,0,243233,"LVA"
"Lebanon",1012969,0,1012969,1012969,13745,0,0,0,0,4589,1031303,"LBN"
"Lesotho",45,0,45,0,3,0,0,0,0,0,48,"LSO"
"Liberia",18990,0,18990,18990,17,0,0,0,0,1479,20486,"LBR"
"Libya",9310,0,9310,8310,29237,0,174510,449840,0,0,662897,"LBY"
"Liechtenstein",163,0,163,0,79,0,0,0,0,0,242,"LIE"
"Lithuania",1093,0,1093,0,82,0,0,0,3466,0,4641,"LTU"
"Luxembourg",2046,0,2046,0,2213,0,0,0,83,0,4342,"LUX"
"Madagascar",28,0,28,28,27,0,0,0,0,0,55,"MDG"
"Malawi",9392,0,9392,9392,21023,0,0,0,0,0,30415,"MWI"
"Malaysia",92054,209,92263,92263,56311,0,0,0,10931,80000,239505,"MYS"
"Mali",17512,0,17512,17512,301,9758,36690,35986,0,0,100247,"MLI"
"Malta",7948,0,7948,3515,902,0,0,0,0,0,8850,"MLT"
"Mauritania",48148,26000,74148,48148,587,0,0,0,0,0,74735,"MRT"
"Mauritius",0,0,0,0,5,0,0,0,0,0,5,"MUS"
"Mexico",6202,0,6202,866,2647,0,0,0,13,0,8862,"MEX"
"Micronesia (Federated States of)",4,0,4,4,0,0,0,0,0,0,4,"FSM"
"Monaco",32,0,32,0,0,0,0,0,0,0,32,"MCO"
"Mongolia",8,0,8,8,3,0,0,0,14,2,27,"MNG"
"Montenegro",974,0,974,728,82,0,0,0,3237,11451,15744,"MNE"
"Montserrat",0,0,0,0,0,0,0,0,0,0,0,"MSR"
"Morocco",4771,0,4771,4771,1962,0,0,0,0,0,6733,"MAR"
"Mozambique",4671,0,4671,2658,12980,5755,15128,0,0,0,38534,"MOZ"
"Myanmar",0,0,0,0,0,74,375016,1346,925939,0,1302375,"MMR"
"Namibia",1757,0,1757,1757,1675,8,0,0,0,50,3490,"NAM"
"Nauru",506,0,506,0,302,0,0,0,0,0,808,"NRU"
"Nepal",25249,0,25249,24483,72,0,0,0,0,849,26170,"NPL"
"Netherlands",101744,0,101744,0,10411,0,0,0,1951,0,114106,"NLD"
"New Zealand",1421,0,1421,0,303,0,0,0,0,0,1724,"NZL"
"Nicaragua",331,0,331,234,334,0,0,0,1,1,667,"NIC"
"Niger",166093,0,166093,166093,65,0,121391,0,0,14678,302227,"NER"
"Nigeria",1367,0,1367,1367,467,0,2219272,689906,0,0,2911012,"NGA"
"Norway",59522,0,59522,0,7556,0,0,0,3251,0,70329,"NOR"
"Oman",317,0,317,317,366,0,0,0,0,0,683,"OMN"
"Pakistan",1352560,0,1352560,1352560,4856,7,448956,704370,0,0,2510749,"PAK"
"Palau",1,0,1,1,3,0,0,0,0,0,4,"PLW"
"Panama",2350,15000,17350,309,4471,0,0,0,2,0,21823,"PAN"
"Papua New Guinea",4955,4581,9536,0,23,0,0,0,0,0,9559,"PNG"
"Paraguay",204,0,204,45,33,0,0,0,0,0,237,"PRY"
"Peru",1649,0,1649,170,4392,0,0,0,0,0,6041,"PER"
"Philippines",408,0,408,117,214,0,87418,255626,4636,68,348370,"PHL"
"Poland",11747,0,11747,0,3431,0,0,0,10825,0,26003,"POL"
"Portugal",1194,0,1194,0,858,0,0,0,14,0,2066,"PRT"
"Qatar",177,0,177,177,142,0,0,0,1200,0,1519,"QAT"
"Rep. of Korea",1807,0,1807,110,6861,0,0,0,197,0,8865,"KOR"
"Rep. of Moldova",432,0,432,432,85,0,0,0,4776,0,5293,"MDA"
"Romania",2905,0,2905,308,74,0,0,0,249,0,3228,"ROU"
"Russian Federation",228990,0,228990,6758,3039,56,0,0,90771,0,322856,"RUS"
"Rwanda",156065,0,156065,156065,464,6105,0,0,0,1446,164080,"RWA"
"Saint Kitts and Nevis",0,0,0,0,0,0,0,0,0,0,0,"KNA"
"Saint Lucia",2,0,2,2,1,0,0,0,0,0,3,"LCA"
"Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,0,"VCT"
"Samoa",3,0,3,3,0,0,0,0,0,0,3,"WSM"
"Sao Tome and Principe",0,0,0,0,0,0,0,0,0,0,0,"STP"
"Saudi Arabia",133,7,140,140,50,0,0,0,70000,0,70190,"SAU"
"Senegal",14584,0,14584,14584,3219,0,0,0,0,0,17803,"SEN"
"Serbia and Kosovo: S/RES/1244 (1999)",29522,7000,36522,12489,130,166,219633,477,2373,0,259301,"SRB"
"Seychelles",2,0,2,2,0,0,0,0,0,0,2,"SYC"
"Sierra Leone",683,0,683,449,7,3,0,0,0,0,693,"SLE"
"Singapore",0,0,0,0,0,0,0,0,0,1,1,"SGP"
"Sint Maarten (Dutch part)",3,0,3,3,7,0,0,0,0,0,10,"SXM"
"Slovakia",990,0,990,0,38,0,0,0,1523,45,2596,"SVK"
"Slovenia",462,0,462,0,319,0,0,0,4,0,785,"SVN"
"Solomon Islands",0,0,0,0,0,0,0,0,0,0,0,"SLB"
"Somalia",11574,0,11574,11574,12794,36133,1562554,0,0,130,1623185,"SOM"
"South Africa",91043,0,91043,0,218299,0,0,0,0,0,309342,"ZAF"
"South Sudan",262560,0,262560,262560,1792,1,1853924,752261,0,0,2870538,"SSD"
"Spain",12989,0,12989,0,20360,0,0,0,1011,0,34360,"ESP"
"Sri Lanka",604,0,604,604,576,1054,39730,12445,0,0,54409,"LKA"
"State of Palestine",0,0,0,0,0,0,0,0,0,0,0,"PSE"
"Sudan",421466,0,421466,380409,16052,37215,2225557,0,0,3758,2704048,"SDN"
"Suriname",1,0,1,1,46,0,0,0,0,1,48,"SUR"
"Swaziland",728,0,728,197,385,7,0,0,0,3,1123,"SWZ"
"Sweden",230164,0,230164,0,83103,0,0,0,36036,0,349303,"SWE"
"Switzerland",82681,0,82681,0,30800,0,0,0,66,0,113547,"CHE"
"Syrian Arab Rep.",19809,0,19809,19809,12494,1,6325978,600000,160000,13628,7131910,"SYR"
"Tajikistan",2729,0,2729,1716,431,0,0,0,17002,0,20162,"TJK"
"Thailand",54251,52196,106447,106447,5010,0,0,0,487741,261,599459,"THA"
"The former Yugoslav Republic of Macedonia",477,160,637,637,21,0,0,0,600,0,1258,"MKD"
"Timor-Leste",0,0,0,0,0,0,0,0,0,2,2,"TLS"
"Togo",12491,0,12491,6877,783,5,0,0,0,0,13279,"TGO"
"Tonga",0,0,0,0,0,0,0,0,0,0,0,"TON"
"Trinidad and Tobago",109,0,109,109,209,0,0,0,0,8,326,"TTO"
"Tunisia",649,0,649,649,33,0,0,0,0,3,685,"TUN"
"Turkey",2869421,0,2869421,2869421,245955,0,0,0,780,0,3116156,"TUR"
"Turkmenistan",27,0,27,27,0,0,0,0,5744,0,5771,"TKM"
"Turks and Caicos Islands",4,0,4,4,0,0,0,0,0,0,4,"TCA"
"Uganda",940835,0,940835,940835,41880,0,0,0,0,180000,1162715,"UGA"
"Ukraine",3302,0,3302,523,6573,8,1800000,0,35363,0,1845246,"UKR"
"United Arab Emirates",895,0,895,895,612,0,0,0,0,0,1507,"ARE"
"United Kingdom",118995,0,118995,0,46784,0,0,0,64,0,165843,"GBR"
"United Rep. of Tanzania",281498,0,281498,281498,8539,6,0,0,0,168785,458828,"TZA"
"United States of America",272959,0,272959,0,542649,0,0,0,0,0,815608,"USA"
"Uruguay",312,0,312,92,371,0,0,0,0,0,683,"URY"
"Uzbekistan",27,0,27,27,0,3,0,0,86524,0,86554,"UZB"
"Vanuatu",0,0,0,0,0,0,0,0,0,0,0,"VUT"
"Venezuela (Bolivarian Republic of)",7861,164192,172053,6282,904,0,0,0,0,0,172957,"VEN"
"Viet Nam",0,0,0,0,0,0,0,0,11000,0,11000,"VNM"
"Western Sahara",0,0,0,0,0,6,0,0,0,0,6,"ESH"
"Yemen",269783,0,269783,120051,9097,1,2025060,974058,0,12,3278011,"YEM"
"Zambia",29350,0,29350,23750,3319,0,0,0,0,24540,57209,"ZMB"
"Zimbabwe",7426,0,7426,7426,952,6,0,0,0,1680,10064,"ZWE"
